"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 07 13:40:00 UTC 2022","Sun Aug 07 13:40:05 UTC 2022","5085","","Search products","","Search products","should search by Ingrid","should search by Ingrid",""
"passed","Sun Aug 07 13:39:32 UTC 2022","Sun Aug 07 13:39:34 UTC 2022","2578","","Product List","","Product List","shoud list products","shoud list products",""
